Timestamp,X,Y,Z
5496262,0.017334,-0.023682,1.011719
5497265,0.017334,-0.025146,1.012817
5498267,0.017456,-0.025024,1.011230
5499270,0.017334,-0.023804,1.011475
5500272,0.017944,-0.023682,1.011230
5501275,0.016724,-0.024658,1.010742
5502277,0.017822,-0.024658,1.010620
5503279,0.018433,-0.023560,1.010986
5504282,0.017700,-0.024780,1.010742
5505284,0.017578,-0.023682,1.011353
5506287,0.017700,-0.023804,1.011475
5507289,0.017456,-0.024658,1.012329
5508292,0.017944,-0.023193,1.011108
5509294,0.018066,-0.023804,1.010376
5510297,0.017334,-0.024048,1.010864
5511299,0.018188,-0.023071,1.012329
5512302,0.016846,-0.022949,1.010864
5513304,0.017944,-0.023437,1.011108
5514307,0.017090,-0.022949,1.011719
5515309,0.017578,-0.024048,1.011353
5516311,0.017456,-0.023682,1.011719
5517314,0.017090,-0.023926,1.011475
5518316,0.017822,-0.025269,1.011475
5519319,0.017212,-0.023682,1.010986
5520321,0.017334,-0.024048,1.011230
5521324,0.016968,-0.022949,1.011841
5522326,0.017212,-0.023315,1.010864
5523329,0.017212,-0.024292,1.011108
5524331,0.017822,-0.024170,1.010376
5525334,0.017944,-0.024048,1.011719
5526336,0.017700,-0.020508,1.012085
5527339,0.018433,-0.024536,1.010742
5528341,0.016968,-0.024414,1.010864
5529344,0.017090,-0.025146,1.011230
5530346,0.017944,-0.024170,1.010620
5531349,0.017700,-0.024292,1.011108
5532351,0.017090,-0.025146,1.010498
5533353,0.017212,-0.024902,1.010132
5534356,0.017212,-0.023926,1.011230
5535358,0.017456,-0.022949,1.011230
5536361,0.017456,-0.023926,1.010742
5537363,0.017212,-0.025635,1.010620
5538366,0.017578,-0.024536,1.010376
5539368,0.016479,-0.023560,1.011230
5540371,0.018188,-0.024414,1.011353
5541373,0.016724,-0.024048,1.010620
5542376,0.017700,-0.023926,1.010376
5543378,0.017334,-0.023193,1.010864
5544380,0.017090,-0.023682,1.010742
5545383,0.017578,-0.023437,1.009888
5546385,0.017822,-0.024536,1.010254
5547388,0.016846,-0.022461,1.010620
5548390,0.018311,-0.024414,1.011353
5549393,0.017456,-0.024658,1.010254
5550395,0.017456,-0.024048,1.010742
5551398,0.017456,-0.020752,1.010742
5552400,0.018188,-0.023682,1.010986
5553403,0.016724,-0.022827,1.010986
5554405,0.017334,-0.024292,1.010254
5555407,0.017578,-0.024780,1.011353
5556410,0.017822,-0.022461,1.010620
5557412,0.017822,-0.024414,1.010376
5558415,0.017456,-0.024170,1.010864
5559417,0.016968,-0.023315,1.011108
5560420,0.017090,-0.023804,1.010742
5561422,0.016846,-0.023804,1.010986
5562425,0.016846,-0.024048,1.010864
5563427,0.018677,-0.026367,1.011230
5564429,0.017578,-0.023560,1.010376
5565432,0.017456,-0.023926,1.010010
5566434,0.016968,-0.022705,1.010376
5567437,0.017578,-0.023437,1.010010
5568439,0.017822,-0.024170,1.010742
5569442,0.016479,-0.024414,1.011353
5570444,0.017212,-0.023926,1.010864
5571447,0.017456,-0.023682,1.009888
5572449,0.017578,-0.023682,1.010864
5573451,0.016724,-0.023682,1.010986
5574454,0.018311,-0.023315,1.010864
5575456,0.018066,-0.023437,1.010986
5576459,0.018433,-0.024658,1.011108
5577461,0.016968,-0.025024,1.011597
5578464,0.018188,-0.023315,1.011108
5579466,0.018188,-0.023682,1.010986
5580469,0.017090,-0.023682,1.011353
5581471,0.017334,-0.024048,1.010864
5582474,0.017334,-0.023560,1.011597
5583476,0.017212,-0.024048,1.010376
5584479,0.017578,-0.023804,1.010376
5585481,0.018066,-0.023804,1.010864
5586483,0.018066,-0.024048,1.010864
5587486,0.018066,-0.024170,1.010254
5588488,0.017700,-0.024048,1.010498
5589491,0.017944,-0.025391,1.010376
5590493,0.018066,-0.023193,1.010498
5591496,0.017456,-0.025146,1.010986
5592498,0.017944,-0.022461,1.010620
5593501,0.017456,-0.023682,1.010376
5594503,0.017456,-0.024170,1.009644
